episode,policy,ttl,width_deg,speed,detection_prob,certificate_noise,tp,fp,fn,tn,precision,recall,f1,occluded_keep_rate,stale_clear_absence_rate,clear_exists_missing_rate,occlusion_survival_rate,deletion_events
14,ttl_short,3,18.0,1.0,0.96,1.25,1828,11,244,157,0.9940184883088635,0.8822393822393823,0.9347992840705702,0.3460490463215259,0.06547619047619048,0.002346041055718475,0.975609756097561,46
15,ttl_short,3,18.0,1.0,0.96,1.25,1693,11,211,325,0.9935446009389671,0.8891806722689075,0.9384700665188469,0.3704819277108434,0.03273809523809524,0.001272264631043257,0.9473684210526315,45
16,ttl_short,3,18.0,1.0,0.96,1.25,1814,10,155,261,0.9945175438596491,0.9212798374809548,0.9564988136040072,0.458041958041958,0.03690036900369004,0.0,1.0,48
17,ttl_short,3,18.0,1.0,0.96,1.25,1832,12,222,174,0.9934924078091106,0.8919182083739046,0.9399692149820421,0.3480825958702065,0.06451612903225806,0.0005830903790087463,1.0,44
18,ttl_short,3,18.0,1.0,0.96,1.25,1933,6,219,82,0.9969056214543579,0.8982342007434945,0.9450012221950623,0.4088397790055249,0.06818181818181818,0.002793296089385475,0.9387755102040817,51
19,ttl_short,3,18.0,1.0,0.96,1.25,1898,3,239,100,0.9984218832193582,0.8881609733270941,0.9400693412580486,0.3803191489361702,0.02912621359223301,0.0034071550255536627,0.8913043478260869,49
20,ttl_short,3,18.0,1.0,0.96,1.25,1867,6,215,152,0.99679658302189,0.8967339097022095,0.9441213653603034,0.3826086956521739,0.0379746835443038,0.0011514104778353484,0.9523809523809523,46
21,ttl_short,3,18.0,1.0,0.96,1.25,1715,12,257,256,0.9930515344528084,0.8696754563894523,0.9272776426061099,0.32894736842105265,0.04477611940298507,0.001256281407035176,0.95,46
22,ttl_short,3,18.0,1.0,0.96,1.25,1764,9,256,211,0.9949238578680203,0.8732673267326733,0.9301344582124967,0.32180851063829785,0.04090909090909091,0.0006082725060827251,0.9743589743589743,43
23,ttl_short,3,18.0,1.0,0.96,1.25,1757,12,234,237,0.9932165065008479,0.8824711200401808,0.9345744680851064,0.3531073446327684,0.04819277108433735,0.0030543677458766036,0.9047619047619048,46
24,ttl_short,3,18.0,1.0,0.96,1.25,1771,9,209,251,0.994943820224719,0.8944444444444445,0.9420212765957447,0.38622754491017963,0.03461538461538462,0.002430133657351154,0.9285714285714286,46
25,ttl_short,3,18.0,1.0,0.96,1.25,1803,9,205,223,0.9950331125827815,0.8979083665338645,0.9439790575916231,0.40117994100294985,0.03879310344827586,0.0011983223487118035,0.9534883720930233,48
26,ttl_short,3,18.0,1.0,0.96,1.25,1755,10,164,311,0.9943342776203966,0.914538822303283,0.9527687296416938,0.43902439024390244,0.03115264797507788,0.001838235294117647,0.925,45
27,ttl_short,3,18.0,1.0,0.96,1.25,1779,9,192,260,0.9949664429530202,0.9025875190258752,0.9465283320031923,0.39747634069400634,0.03345724907063197,0.0006045949214026602,0.9743589743589743,45
28,ttl_short,3,18.0,1.0,0.96,1.25,1777,12,188,263,0.9932923420905534,0.9043256997455471,0.9467234949387321,0.3881578947368421,0.04363636363636364,0.0012040939193257074,0.9736842105263158,43
29,ttl_short,3,18.0,1.0,0.96,1.25,1608,18,190,424,0.988929889298893,0.8943270300333704,0.9392523364485982,0.37748344370860926,0.04072398190045249,0.001336898395721925,0.9459459459459459,45
30,ttl_short,3,18.0,1.0,0.96,1.25,1816,9,207,208,0.9950684931506849,0.897676717745922,0.9438669438669438,0.3867069486404834,0.041474654377880185,0.002364066193853428,0.925,44
31,ttl_short,3,18.0,1.0,0.96,1.25,1580,21,202,437,0.9868831980012492,0.8866442199775533,0.9340821755838015,0.32094594594594594,0.04585152838427948,0.0006729475100942127,0.967741935483871,39
