episode,policy,ttl,width_deg,speed,detection_prob,certificate_noise,certificate_false_negative,certificate_false_positive,tp,fp,fn,tn,precision,recall,f1,occluded_keep_rate,stale_clear_absence_rate,clear_exists_missing_rate,occlusion_survival_rate,deletion_events,scenario
137,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1842,63,28,307,0.9669291338582677,0.9850267379679144,0.9758940397350994,0.9598145285935085,0.17027027027027028,0.001635322976287817,1.0,5,false_negative_10pct
138,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2045,32,25,138,0.9845931632161772,0.9879227053140096,0.9862551241861586,0.9645390070921985,0.18823529411764706,0.0,1.0,3,false_negative_10pct
139,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2200,0,40,0,1.0,0.9821428571428571,0.9909909909909909,0.953125,0.0,0.0007102272727272727,1.0,0,false_negative_10pct
140,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1942,52,59,187,0.9739217652958877,0.9705147426286856,0.9722152690863579,0.9193989071038251,0.2175732217573222,0.0,1.0,5,false_negative_10pct
141,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1751,62,53,374,0.9658025372311086,0.970620842572062,0.9682056953276196,0.9178743961352657,0.14220183486238533,0.0016906170752324597,1.0,9,false_negative_10pct
142,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2049,55,64,72,0.9738593155893536,0.9697113109323237,0.9717808868864122,0.9159891598915989,0.4330708661417323,0.0014545454545454545,1.0,2,false_negative_10pct
143,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1746,25,112,357,0.9858836815358555,0.9397201291711518,0.9622485533204739,0.8402877697841726,0.06544502617801047,0.0008598452278589854,1.0,5,false_negative_10pct
144,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1808,58,32,342,0.9689174705251876,0.9826086956521739,0.9757150566648678,0.9528158295281582,0.145,0.0008453085376162299,1.0,7,false_negative_10pct
145,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1954,73,30,183,0.9639861864824865,0.9848790322580645,0.9743206182996758,0.9604365620736699,0.28515625,0.0007993605115907274,1.0,5,false_negative_10pct
146,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1830,71,123,216,0.9626512361914782,0.9370199692780338,0.9496626881162429,0.8368983957219251,0.24738675958188153,0.0008298755186721991,1.0,6,false_negative_10pct
147,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1704,58,65,413,0.9670828603859251,0.963256076879593,0.9651656754460494,0.9067055393586005,0.12314225053078556,0.0009233610341643582,1.0,8,false_negative_10pct
148,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1865,24,48,303,0.9872948650079407,0.9749085206481966,0.9810625986322987,0.9286775631500743,0.07339449541284404,0.0,1.0,6,false_negative_10pct
149,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1952,27,0,261,0.9863567458312279,1.0,0.9931315186975325,1.0,0.09375,0.0,1.0,4,false_negative_10pct
150,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1980,26,42,192,0.9870388833499502,0.9792284866468842,0.9831181727904668,0.946164199192463,0.11926605504587157,0.001563721657544957,1.0,5,false_negative_10pct
151,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1801,44,46,349,0.9761517615176152,0.9750947482403898,0.9756229685807151,0.9373219373219374,0.11195928753180662,0.0017467248908296944,1.0,6,false_negative_10pct
152,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1951,15,84,190,0.9923702950152594,0.9587223587223587,0.9752561859535116,0.874251497005988,0.07317073170731707,0.0,1.0,3,false_negative_10pct
153,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1823,64,58,295,0.9660837307896132,0.9691653375863902,0.9676220806794056,0.9163059163059163,0.17827298050139276,0.0,1.0,4,false_negative_10pct
154,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1897,26,90,227,0.9864794591783671,0.9547055863110216,0.9703324808184143,0.8733997155049786,0.10276679841897234,0.000778816199376947,1.0,4,false_negative_10pct
155,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2049,33,22,136,0.984149855907781,0.9893771125060358,0.9867565615217915,0.970310391363023,0.1952662721893491,0.0,1.0,4,false_negative_10pct
156,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1832,40,43,325,0.9786324786324786,0.9770666666666666,0.9778489458233253,0.9345509893455098,0.1095890410958904,0.0,1.0,5,false_negative_10pct
157,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1717,30,162,331,0.9828277046365197,0.9137839276210751,0.9470490899062328,0.7575301204819277,0.08310249307479224,0.0008230452674897119,1.0,5,false_negative_10pct
158,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1866,125,0,249,0.9372174786539428,1.0,0.967591392273788,1.0,0.3342245989304813,0.0,1.0,7,false_negative_10pct
159,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1823,50,91,276,0.9733048585157501,0.9524555903866249,0.9627673620279905,0.8806366047745358,0.15337423312883436,0.0008620689655172414,1.0,4,false_negative_10pct
160,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1805,53,74,308,0.9714747039827771,0.9606173496540713,0.9660155204709661,0.8841940532081377,0.14681440443213298,0.0,1.0,5,false_negative_10pct
161,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1781,74,43,342,0.9601078167115903,0.9764254385964912,0.9681978798586572,0.9337442218798151,0.1778846153846154,0.0,1.0,6,false_negative_10pct
162,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1907,53,53,227,0.9729591836734693,0.9729591836734693,0.9729591836734693,0.9256661991584852,0.18928571428571428,0.0,1.0,4,false_negative_10pct
163,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1934,34,22,250,0.9827235772357723,0.9887525562372188,0.9857288481141693,0.9672619047619048,0.11971830985915492,0.0,1.0,4,false_negative_10pct
164,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1852,35,101,252,0.9814520402755696,0.9482846902201741,0.9645833333333332,0.8476621417797888,0.12195121951219512,0.0,1.0,4,false_negative_10pct
165,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1992,21,37,190,0.9895678092399404,0.9817644159684573,0.9856506679861454,0.9431643625192012,0.0995260663507109,0.0,1.0,3,false_negative_10pct
166,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1827,79,54,280,0.9585519412381952,0.9712918660287081,0.9648798521256932,0.9147909967845659,0.2200557103064067,0.0007942811755361397,1.0,6,false_negative_10pct
167,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1889,43,36,272,0.977743271221532,0.9812987012987013,0.979517759917034,0.9455676516329704,0.1365079365079365,0.00078003120124805,1.0,4,false_negative_10pct
168,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1714,21,126,379,0.9878962536023055,0.9315217391304348,0.9588811188811189,0.8101071975497703,0.0525,0.0016849199663016006,1.0,5,false_negative_10pct
169,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1979,9,61,191,0.9954728370221329,0.9700980392156863,0.9826216484607746,0.9165507649513213,0.045,0.000757002271006813,1.0,3,false_negative_10pct
170,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1807,63,18,352,0.9663101604278075,0.9901369863013698,0.9780784844384303,0.9701986754966887,0.15180722891566265,0.0,1.0,5,false_negative_10pct
171,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1844,26,54,316,0.986096256684492,0.9715489989462592,0.9787685774946921,0.920704845814978,0.07602339181286549,0.0,1.0,5,false_negative_10pct
172,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2022,6,47,165,0.9970414201183432,0.9772837119381343,0.9870637051501098,0.9402390438247012,0.03508771929824561,0.001519756838905775,1.0,2,false_negative_10pct
173,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1952,96,26,166,0.953125,0.9868554095045501,0.9696969696969697,0.9604261796042618,0.366412213740458,0.0,1.0,5,false_negative_10pct
174,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1817,34,17,372,0.9816315505132361,0.9907306434023991,0.9861601085481683,0.971947194719472,0.08374384236453201,0.0,1.0,6,false_negative_10pct
175,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2080,36,13,111,0.9829867674858223,0.9937888198757764,0.9883582798764552,0.9826666666666667,0.24489795918367346,0.0,1.0,3,false_negative_10pct
176,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2099,13,39,89,0.993844696969697,0.9817586529466792,0.987764705882353,0.9498680738786279,0.12745098039215685,0.0007246376811594203,1.0,2,false_negative_10pct
177,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1931,24,79,206,0.9877237851662404,0.9606965174129353,0.9740226986128626,0.8884180790960452,0.10434782608695652,0.0,1.0,3,false_negative_10pct
178,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1832,52,48,308,0.9723991507430998,0.9744680851063829,0.973432518597237,0.9322033898305084,0.14444444444444443,0.0,1.0,5,false_negative_10pct
179,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1918,22,139,161,0.988659793814433,0.9324258629071464,0.9597197898423818,0.8184210526315789,0.12021857923497267,0.0007710100231303007,1.0,3,false_negative_10pct
180,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1710,37,68,425,0.9788208357183743,0.9617547806524185,0.9702127659574469,0.9031339031339032,0.08008658008658008,0.0,1.0,6,false_negative_10pct
181,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2072,44,46,78,0.9792060491493384,0.9782813975448537,0.9787435049598489,0.936986301369863,0.36065573770491804,0.0,1.0,2,false_negative_10pct
182,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1660,96,76,408,0.9453302961275627,0.956221198156682,0.9507445589919817,0.8760611205432938,0.19047619047619047,0.0026155187445510027,1.0,9,false_negative_10pct
183,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1822,24,102,292,0.9869989165763814,0.946985446985447,0.96657824933687,0.8595271210013908,0.0759493670886076,0.0008298755186721991,1.0,6,false_negative_10pct
184,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2020,56,11,153,0.9730250481695568,0.9945839487936977,0.9836863890917945,0.9856209150326798,0.2679425837320574,0.0,1.0,5,false_negative_10pct
185,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1728,21,124,367,0.9879931389365352,0.9330453563714903,0.9597334073868371,0.8153153153153153,0.05412371134020619,0.0008431703204047217,1.0,6,false_negative_10pct
186,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1768,53,27,392,0.970895112575508,0.984958217270195,0.9778761061946902,0.9587955625990491,0.11910112359550562,0.000859106529209622,1.0,7,false_negative_10pct
187,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1957,22,119,142,0.9888832743810005,0.9426782273603083,0.9652281134401973,0.8447368421052631,0.13414634146341464,0.0007598784194528875,1.0,2,false_negative_10pct
188,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1780,43,49,368,0.9764125068568295,0.9732094040459267,0.9748083242059146,0.9274074074074075,0.10462287104622871,0.0,1.0,7,false_negative_10pct
189,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1990,34,116,100,0.983201581027668,0.9449192782526116,0.9636803874092009,0.8440860215053764,0.2537313432835821,0.0,1.0,2,false_negative_10pct
190,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1749,26,47,418,0.9853521126760564,0.9738307349665924,0.9795575469056288,0.9230769230769231,0.05855855855855856,0.0,1.0,8,false_negative_10pct
191,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1973,6,98,163,0.9969681657402729,0.9526798647996138,0.9743209876543211,0.8680272108843538,0.03550295857988166,0.0007485029940119761,1.0,2,false_negative_10pct
192,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1827,76,104,233,0.9600630583289543,0.9461418953909891,0.9530516431924883,0.8577348066298343,0.2459546925566343,0.0008285004142502071,1.0,5,false_negative_10pct
193,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1881,23,36,300,0.9879201680672269,0.9812206572769953,0.9845590159644072,0.946980854197349,0.07120743034055728,0.0,1.0,5,false_negative_10pct
194,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1802,23,119,296,0.9873972602739726,0.9380530973451328,0.9620928990923653,0.8400537634408602,0.07210031347962383,0.0,1.0,6,false_negative_10pct
195,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1915,39,8,278,0.9800409416581372,0.9958398335933437,0.9878772246582409,0.9909502262443439,0.12302839116719243,0.0015873015873015873,1.0,4,false_negative_10pct
196,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1978,6,121,135,0.9969758064516129,0.9423535016674607,0.9688954200342884,0.8442408376963351,0.0425531914893617,0.00149812734082397,1.0,2,false_negative_10pct
197,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1732,56,89,363,0.9686800894854586,0.9511257550796266,0.9598226655583264,0.8636363636363636,0.13365155131264916,0.0016906170752324597,1.0,7,false_negative_10pct
198,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1857,52,149,182,0.9727606076479832,0.9257228315054835,0.9486590038314177,0.7867435158501441,0.2222222222222222,0.0007621951219512195,1.0,4,false_negative_10pct
199,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1832,108,40,260,0.9443298969072165,0.9786324786324786,0.9611752360965373,0.9441340782122905,0.29347826086956524,0.0,1.0,5,false_negative_10pct
200,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1901,12,87,240,0.9937271301620492,0.9562374245472837,0.9746218918226096,0.8822733423545331,0.047619047619047616,0.0,1.0,3,false_negative_10pct
201,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1829,80,109,222,0.9580932425353589,0.9437564499484005,0.9508708084221472,0.8465909090909091,0.26490066225165565,0.0008103727714748784,1.0,6,false_negative_10pct
202,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1950,14,29,247,0.9928716904276986,0.9853461344113188,0.9890945980218108,0.9584527220630372,0.05363984674329502,0.0,1.0,4,false_negative_10pct
203,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1914,38,51,237,0.9805327868852459,0.9740458015267176,0.9772785294868521,0.9317548746518106,0.13818181818181818,0.0016038492381716118,1.0,5,false_negative_10pct
204,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1945,63,24,208,0.9686254980079682,0.9878110716099543,0.978124214231833,0.9655688622754491,0.23247232472324722,0.0007686395080707148,1.0,4,false_negative_10pct
205,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1910,38,72,220,0.9804928131416838,0.963673057517659,0.9720101781170484,0.900976290097629,0.14728682170542637,0.0007905138339920949,1.0,4,false_negative_10pct
206,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2076,8,33,123,0.9961612284069098,0.984352773826458,0.9902217982351539,0.9575835475578406,0.061068702290076333,0.0,1.0,3,false_negative_10pct
207,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1773,55,49,363,0.9699124726477024,0.9731064763995609,0.9715068493150685,0.9209677419354839,0.13157894736842105,0.0,1.0,7,false_negative_10pct
208,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1875,20,75,270,0.9894459102902374,0.9615384615384616,0.9752925877763329,0.8936170212765957,0.06896551724137931,0.0,1.0,4,false_negative_10pct
209,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1881,41,95,223,0.9786680541103018,0.9519230769230769,0.9651103129810159,0.8661870503597122,0.1553030303030303,0.00156128024980484,1.0,5,false_negative_10pct
210,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2076,12,42,110,0.9942528735632183,0.9801699716713881,0.9871611982881597,0.9487836107554417,0.09836065573770492,0.0014958863126402393,1.0,2,false_negative_10pct
211,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1828,70,103,239,0.9631190727081138,0.9466597617814604,0.954818490467485,0.8528571428571429,0.22653721682847897,0.0,1.0,6,false_negative_10pct
212,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1604,74,128,434,0.9558998808104887,0.9260969976905312,0.9407624633431085,0.7974683544303798,0.14566929133858267,0.0,1.0,7,false_negative_10pct
213,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1912,29,37,262,0.985059247810407,0.9810159055926116,0.9830334190231361,0.9405144694533762,0.09965635738831616,0.0,1.0,4,false_negative_10pct
214,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1862,28,143,207,0.9851851851851852,0.9286783042394015,0.9560975609756096,0.8108465608465608,0.11914893617021277,0.0,1.0,5,false_negative_10pct
215,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1986,47,41,166,0.9768814559763895,0.9797730636408486,0.9783251231527095,0.9460916442048517,0.22065727699530516,0.0007782101167315176,1.0,4,false_negative_10pct
216,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2068,16,108,48,0.9923224568138196,0.9503676470588235,0.9708920187793426,0.8582887700534759,0.25,0.0014005602240896359,1.0,2,false_negative_10pct
217,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1836,46,62,296,0.975557917109458,0.9673340358271865,0.9714285714285713,0.9084194977843427,0.13450292397660818,0.0,1.0,6,false_negative_10pct
218,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2005,25,128,82,0.9876847290640394,0.9399906235349273,0.9632476579389864,0.8472727272727273,0.2336448598130841,0.0015290519877675841,1.0,2,false_negative_10pct
219,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1984,8,27,221,0.9959839357429718,0.9865738438587768,0.9912565575818136,0.961038961038961,0.034934497816593885,0.0,1.0,3,false_negative_10pct
220,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2152,29,42,17,0.9867033470884915,0.9808568824065633,0.9837714285714285,0.9477707006369427,0.6304347826086957,0.0007097232079489,1.0,1,false_negative_10pct
221,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2108,6,77,49,0.9971617786187322,0.9647597254004576,0.9806931844615027,0.9006451612903226,0.10909090909090909,0.0,1.0,2,false_negative_10pct
222,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1848,37,42,313,0.9803713527851459,0.9777777777777777,0.9790728476821191,0.9400584795321637,0.10571428571428572,0.0008291873963515755,1.0,4,false_negative_10pct
223,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2013,9,27,191,0.9955489614243324,0.986764705882353,0.9911373707533234,0.9593373493975904,0.045,0.0,1.0,3,false_negative_10pct
224,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1868,29,35,308,0.9847127042698999,0.9816079873883342,0.9831578947368422,0.9498567335243553,0.08605341246290801,0.0,1.0,6,false_negative_10pct
225,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1988,9,46,197,0.9954932398597897,0.9773844641101278,0.9863557429918134,0.9363762102351314,0.043689320388349516,0.0,1.0,3,false_negative_10pct
226,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1726,17,123,374,0.9902467010900746,0.9334775554353705,0.9610244988864143,0.8183161004431314,0.043478260869565216,0.0,1.0,6,false_negative_10pct
227,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1938,11,87,204,0.9943560800410467,0.957037037037037,0.9753397081026675,0.865533230293663,0.05116279069767442,0.0,1.0,3,false_negative_10pct
228,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1793,50,44,353,0.9728703201302225,0.9760479041916168,0.9744565217391304,0.9361702127659575,0.12406947890818859,0.0016963528413910093,1.0,5,false_negative_10pct
229,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1991,46,39,164,0.9774177712322042,0.9807881773399014,0.9791000737644454,0.9445234708392604,0.21904761904761905,0.0,1.0,4,false_negative_10pct
230,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1949,15,156,120,0.9923625254582484,0.9258907363420428,0.957974932415827,0.8015463917525774,0.1111111111111111,0.0015048908954100827,1.0,3,false_negative_10pct
231,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2046,8,93,93,0.9961051606621227,0.9565217391304348,0.9759122346768424,0.8839848675914249,0.07920792079207921,0.0007429420505200594,1.0,1,false_negative_10pct
232,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1682,71,57,430,0.959498003422704,0.9672225416906268,0.963344788087056,0.9087947882736156,0.14171656686626746,0.0008888888888888889,1.0,9,false_negative_10pct
233,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1896,67,64,213,0.9658685685175752,0.9673469387755103,0.9666071883762427,0.91268758526603,0.2392857142857143,0.0,1.0,5,false_negative_10pct
234,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1954,9,79,198,0.9954151808456444,0.9611411706837186,0.977977977977978,0.8893557422969187,0.043478260869565216,0.0,1.0,3,false_negative_10pct
235,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1962,27,32,219,0.9864253393665159,0.9839518555667001,0.9851870449409994,0.9551820728291317,0.10975609756097561,0.0,1.0,4,false_negative_10pct
236,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1591,92,38,519,0.9453357100415924,0.9766728054020871,0.9607487922705314,0.9375,0.15057283142389524,0.0009643201542912247,1.0,8,false_negative_10pct
237,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1805,13,71,351,0.9928492849284929,0.9621535181236673,0.9772604223064429,0.8976945244956772,0.03571428571428571,0.0,1.0,5,false_negative_10pct
238,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1859,15,107,259,0.9919957310565635,0.9455747711088505,0.9682291666666667,0.8379204892966361,0.05474452554744526,0.0007621951219512195,1.0,5,false_negative_10pct
239,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,2073,56,2,109,0.973696571160169,0.9990361445783132,0.9862036156041865,0.9986486486486487,0.3393939393939394,0.000749063670411985,1.0,2,false_negative_10pct
240,certificate,3,42.0,1.0,0.96,1.25,0.1,0.0,1946,43,90,161,0.9783810960281548,0.9557956777996071,0.9669565217391305,0.8778833107191316,0.2107843137254902,0.0,1.0,4,false_negative_10pct
241,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1827,68,76,269,0.9641160949868074,0.9600630583289543,0.9620853080568721,0.8774509803921569,0.20178041543026706,0.000774593338497289,1.0,7,false_negative_25pct
242,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1704,48,116,372,0.9726027397260274,0.9362637362637363,0.9540873460246361,0.8289085545722714,0.11428571428571428,0.0,1.0,5,false_negative_25pct
243,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1648,49,98,445,0.9711255156157925,0.9438717067583047,0.9573046761545163,0.8543543543543544,0.09919028340080972,0.000925925925925926,1.0,7,false_negative_25pct
244,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1896,44,72,228,0.977319587628866,0.9634146341463414,0.9703172978505629,0.8994413407821229,0.16176470588235295,0.0,1.0,4,false_negative_25pct
245,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1778,15,105,342,0.9916341327384273,0.9442379182156134,0.9673558215451578,0.8505747126436781,0.04201680672268908,0.0008424599831508003,1.0,7,false_negative_25pct
246,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1789,65,124,262,0.964940668824164,0.9351803450078411,0.9498274488983276,0.8333333333333334,0.19877675840978593,0.000851063829787234,1.0,12,false_negative_25pct
247,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1807,61,105,267,0.9673447537473233,0.9450836820083682,0.9560846560846561,0.8463810930576071,0.18597560975609756,0.0008097165991902834,1.0,7,false_negative_25pct
248,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1893,38,110,199,0.9803210771620922,0.945082376435347,0.9623792577529232,0.844950213371266,0.16033755274261605,0.0007692307692307692,1.0,7,false_negative_25pct
249,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1896,32,58,254,0.983402489626556,0.970317297850563,0.9768160741885625,0.9201741654571843,0.11188811188811189,0.0023715415019762848,1.0,4,false_negative_25pct
250,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1848,22,58,312,0.9882352941176471,0.9695697796432319,0.978813559322034,0.9130434782608695,0.0658682634730539,0.0,1.0,5,false_negative_25pct
251,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,2091,21,26,102,0.9900568181818182,0.9877184695323571,0.9888862615275479,0.9655647382920111,0.17073170731707318,0.0007189072609633358,1.0,3,false_negative_25pct
252,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1915,27,122,176,0.986096807415036,0.9401080019636721,0.9625534053782357,0.8344640434192673,0.1330049261083744,0.0,1.0,9,false_negative_25pct
253,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1793,25,50,372,0.9862486248624862,0.9728703201302225,0.9795137940453428,0.9287790697674418,0.06297229219143577,0.0008658008658008658,1.0,9,false_negative_25pct
254,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1870,44,94,232,0.9770114942528736,0.9521384928716904,0.964414646725116,0.8639652677279306,0.15942028985507245,0.0,1.0,5,false_negative_25pct
255,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1932,12,19,277,0.9938271604938271,0.9902614044079959,0.9920410783055199,0.9730113636363636,0.04152249134948097,0.0,1.0,4,false_negative_25pct
256,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1876,61,128,175,0.9685080020650491,0.936127744510978,0.9520426287744227,0.8352638352638353,0.2584745762711864,0.0,1.0,6,false_negative_25pct
257,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1793,37,44,366,0.9797814207650273,0.9760479041916168,0.9779110989910008,0.9348148148148148,0.09181141439205956,0.0,1.0,8,false_negative_25pct
258,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1874,69,79,218,0.9644879053010808,0.9595494111623144,0.962012320328542,0.8782742681047766,0.24041811846689895,0.0,1.0,5,false_negative_25pct
259,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1708,81,57,394,0.9547233091112354,0.9677053824362606,0.9611705120990434,0.9082125603864735,0.1705263157894737,0.0,1.0,7,false_negative_25pct
260,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,2072,6,86,76,0.9971126082771896,0.9601482854494903,0.9782813975448537,0.893167701863354,0.07317073170731707,0.0,1.0,2,false_negative_25pct
261,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1918,22,70,230,0.988659793814433,0.9647887323943662,0.9765784114052953,0.9047619047619048,0.0873015873015873,0.0,1.0,6,false_negative_25pct
262,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1873,9,103,255,0.9952178533475027,0.9478744939271255,0.970969414204251,0.8539007092198582,0.03409090909090909,0.0,1.0,5,false_negative_25pct
263,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1872,75,44,249,0.9614791987673343,0.9770354906054279,0.9691949262231425,0.9330289193302892,0.23148148148148148,0.0,1.0,6,false_negative_25pct
264,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1801,76,125,238,0.9595098561534363,0.935098650051921,0.9471469892190376,0.8350923482849604,0.24203821656050956,0.0,1.0,7,false_negative_25pct
265,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1836,39,151,214,0.9792,0.9240060392551586,0.9508026929052305,0.7991913746630728,0.1541501976284585,0.001606425702811245,0.9615384615384616,6,false_negative_25pct
266,certificate,3,42.0,1.0,0.96,1.25,0.25,0.0,1941,39,156,104,0.9803030303030303,0.9256080114449213,0.9521707137601177,0.7992277992277992,0.2727272727272727,0.0,1.0,4,false_negative_25pct
